Id,Label,Timestamp
0,v0,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
1,v1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
2,v2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
3,v3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
4,v4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
5,v5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
6,v6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
7,v7,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
8,v8,"[8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
9,v9,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
10,v10,"[10, 11, 12, 13, 14, 15, 16, 17, 18]"
11,v11,"[11, 12, 13, 14, 15, 16, 17, 18]"
12,v12,"[12, 13, 14, 15, 16, 17, 18]"
13,v13,"[13, 14, 15, 16, 17, 18]"
14,v14,"[14, 15, 16, 17, 18]"
15,v15,"[15, 16, 17, 18]"
16,v16,"[16, 17, 18]"
17,v17,"[17, 18]"
